date_time_wib,track,program_or_client,action,status,next_step
2026-06-10 11:30,Bug bounty,OpenAI Bugcrowd,Verified public program status and scope warnings,ready,Read in-scope assets after researcher login and run only non-destructive own-account checks
2026-06-10 11:30,Bug bounty,Google/Alphabet VRP,Added official VRP target to shortlist,ready,Review exact product scope before testing
2026-06-10 11:30,Bug bounty,Microsoft MSRC,Added official MSRC reporting portal,ready,Choose a specific MSRC bounty program before testing
2026-06-10 11:30,Bug bounty,GitHub HackerOne,Added public HackerOne program to shortlist,ready,Use own repos/actions/pages only
2026-06-10 11:30,Bug bounty,Shopify HackerOne,Added public HackerOne program to shortlist,ready,Confirm scope after login before testing
2026-06-10 11:30,Agency,QuickOps AI,Keep outbound and USD 100 pilot offer active,active,Continue reply monitoring and send next targeted batch only to relevant prospects
2026-06-10 11:39,Bug bounty,OpenAI Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/01-openai-bug-bounty/scope_notes.md before any active test
2026-06-10 11:39,Bug bounty,Google and Alphabet VRP,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/02-google-and-alphabet-vrp/scope_notes.md before any active test
2026-06-10 11:39,Bug bounty,Microsoft MSRC Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/03-microsoft-msrc-bounty/scope_notes.md before any active test
2026-06-10 11:39,Bug bounty,GitHub Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/04-github-bug-bounty/scope_notes.md before any active test
2026-06-10 11:39,Bug bounty,Shopify Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/05-shopify-bug-bounty/scope_notes.md before any active test
2026-06-10 11:41,Bug bounty,OpenAI Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/01-openai-bug-bounty/scope_notes.md before any active test
2026-06-10 11:41,Bug bounty,Google and Alphabet VRP,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/02-google-and-alphabet-vrp/scope_notes.md before any active test
2026-06-10 11:41,Bug bounty,Microsoft MSRC Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/03-microsoft-msrc-bounty/scope_notes.md before any active test
2026-06-10 11:41,Bug bounty,GitHub Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/04-github-bug-bounty/scope_notes.md before any active test
2026-06-10 11:41,Bug bounty,Shopify Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/05-shopify-bug-bounty/scope_notes.md before any active test
2026-06-10 22:23,Bug bounty,OpenAI Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/01-openai-bug-bounty/scope_notes.md before any active test
2026-06-10 22:23,Bug bounty,Google and Alphabet VRP,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/02-google-and-alphabet-vrp/scope_notes.md before any active test
2026-06-10 22:23,Bug bounty,Microsoft MSRC Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/03-microsoft-msrc-bounty/scope_notes.md before any active test
2026-06-10 22:23,Bug bounty,GitHub Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/04-github-bug-bounty/scope_notes.md before any active test
2026-06-10 22:23,Bug bounty,Shopify Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/05-shopify-bug-bounty/scope_notes.md before any active test
2026-06-10 23:48,Bug bounty,OpenAI Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/01-openai-bug-bounty/scope_notes.md before any active test
2026-06-10 23:48,Bug bounty,Google and Alphabet VRP,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/02-google-and-alphabet-vrp/scope_notes.md before any active test
2026-06-10 23:48,Bug bounty,Microsoft MSRC Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/03-microsoft-msrc-bounty/scope_notes.md before any active test
2026-06-10 23:48,Bug bounty,GitHub Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/04-github-bug-bounty/scope_notes.md before any active test
2026-06-10 23:48,Bug bounty,Shopify Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/05-shopify-bug-bounty/scope_notes.md before any active test
2026-06-11 00:34,Bug bounty,OpenAI Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/01-openai-bug-bounty/scope_notes.md before any active test
2026-06-11 00:34,Bug bounty,Google and Alphabet VRP,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/02-google-and-alphabet-vrp/scope_notes.md before any active test
2026-06-11 00:34,Bug bounty,Microsoft MSRC Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/03-microsoft-msrc-bounty/scope_notes.md before any active test
2026-06-11 00:34,Bug bounty,GitHub Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/04-github-bug-bounty/scope_notes.md before any active test
2026-06-11 00:34,Bug bounty,Shopify Bug Bounty,Safe scope snapshot collected,snapshot_collected,Review /mnt/c/Users/user/zero-to-100-agency/bug_bounty_cases/05-shopify-bug-bounty/scope_notes.md before any active test
